key,sw
p48,"Kuelewa wahojiwa watarajiwa utakaokutana nao wakati wa utafiti wa kuprofaili uvuvi ni muhimu kwa kufanya uchunguzi. Makundi au watu binafsi watakaoshiriki katika mahojiano wanapaswa kupokea taarifa mapema. Kwa hivyo, kujitambulisha kwa viongozi wenye ushawishi katika jamii ni lazima kabla ya uchunguzi kuanza."
p49,Mipango ya Usafiri
p50,Kila mbinu ina mahitaji ya usafirishaji na vifaa. Hakikisha kuwa rasilimali na vifaa vinavyohitajika kwa kila mbinu ya utafiti wa kuprofaili uvuvi vimeandaliwa.
p51,Orodha ya Mawasiliano ya Watu Muhimu
p52,Hifadhi orodha ya mawasiliano ya watu muhimu kwenye simu yako na pia uwe na toleo lililochapishwa.
p53,Afya na usalama
p54,"Hakikisha kuwa uko katika hali nzuri ya kufanya profaili uvuvi. Leta kitanda muhimu cha huduma ya kwanza.
Hakikisha uko katika hali nzuri ya kufanya uchambuzi wa kuprofaili uvuvi. Chukua mfuko kutoa huduma ya kwanza wakati wa hatari."
p55,Mwongozo Wa Majadiliano Ya Kikundi
p56,"Maelezo yafuatayo yana mwongozo na mapendekezo kuhusu jinsi ya kufanya kikundi cha majadiliano kupata habari za uchambuzi wa jamii. Kufanya kikao cha majadiliano hupendekezwa ili kuchochea mazungumzo, kupata maoni anuwai, na kuanza kujenga mahusiano na wanajamii muhimu. Hata hivyo, katika hali ambapo kikundi cha majadiliano si rahisi, uchunguzi wa jamii unaweza kufanywa kama mahojiano binafsi na wadau muhimu kwa kutumia fomu ya Kobo ya ""Uchambuzi wa profaili ya Jamii"". Kwa ujumla, lengo la zoezi la uchambuzi wa jamii, iwe ni kikundi cha majadiliano au mahojiano binafsi, ni kuelewa mandhari ya jumla ya jamii na shughuli za uvuvi zinazoendeshwa ndani ya jamii."
p57,Kabla ya kufanya kikundi cha majadiliano
p58,"Kabla ya kuandaa kikundi rasmi cha kuzingatia utafiti wa kuprofaili uvuvi, inapendekezwa kufanya mazungumzo yasiyo rasmi na uchunguzi wa washiriki. Mbinu hii inamaanisha kutumia muda, kujenga mahusiano, na kuelewa shughuli za uvuvi kwa kutumia mazungumzo yasiyo rasmi na uchunguzi wa washiriki."
p59,"Mazungumzo yasiyo rasmi ni muhimu kuelewa muktadha wa jumla wa uvuvi kabla ya kufanya mjadala wa kikundi cha kuzingatia. Tumia mbinu hii kama moja ya hatua za kuanza kuandaa mada ya mjadala wa kikundi cha majadiliano. Mbinu hii itakuruhusu kujifunza jamii ya uvuvi, kuanza kujenga mahusiano, na kupata uaminifu."
p60,Vidokezo vilivyopendekezwa vya kufanya mazungumzo yasiyo rasmi:
tip1,"Heshimu tofauti za kitamaduni. Fuata sheria za kijamii kama salamu za kukubalika, mavazi, na heshimu mila za kidini. Kuwa na adabu, unyenyekevu, na sikiliza maoni ya wadau bila kusimamia yako mwenyewe. Kukaa ndani ya jamii, kujenga uhusiano mzuri, na kushiriki milo kunaweza kusaidia kujenga uaminifu."
tip2,"Tumia muda na wadau. Hakuna njia ya mkato ya kupata imani na uungaji mkono. Hasa ndani ya jamii ni vizuri kuonekana, kutumia muda katika vijiji na kukutana na watu. Kuwa tayari kujadili masuala makuu ndani ya jamii. Usijaribu kusukuma ajenda moja maalum."
tip3,"Tumia lugha ya kienyeji ikiwezekana, isipokuwa kama kuna lugha ya pamoja inayopatikana. Vinginevyo, tumia mkalimani. Kuwa makini na makosa katika tafsiri. Kuhakiki tafsiri kati ya mkalimani zaidi ya mmoja kunaweza kupunguza makosa ya uelewa"
tip4,"Usitoa ahadi ambazo haziwezi kutimizwa. Weka wazi malengo na matokeo yanayotarajiwa bila kuongeza matarajio. Hii ni muhimu kusisitiza mapema ili jamii iwe na uelewa wazi juu ya jukumu la mshirika wa kiufundi, kwa mfano kuwezesha kufunga uvuvi wa pweza, si kuchimba visima au kurekebisha shule. Ni muhimu kuhakikisha kila mtu anafahamu ni nini shirika linaweza na halwezi kufanya ndani ya jamii. Kuhakikisha matarajio ya kweli husaidia kupunguza huzuni, malalamiko, na migogoro wakati mradi unapoendelea."
tip5,Tangaza mipango na shughuli kwa watu wote. Hakikisha mikutano au shughuli zozote zimepangwa mapema na katika nyakati na maeneo yanayokubalika kwa pande zote ili kuongeza idadi ya washiriki. Hakikisha mabadiliko yoyote katika mipango na shughuli yanatangazwa mapema iwezekanavyo. Kuwa kwa wakati na kuzingatia makubaliano husaidia kujenga imani na ujasiri kati ya wadau.
tip6,Kila wakati tambua wadau katika matokeo ya miradi kama ripoti na kutolewa kwa vyombo vya habari ndani ya mikutano na maonyesho ya nje kwa wadau. Kuwa makini na 'umiliki' wa habari na heshimu usiri na faragha
p61,"Kuelewa vyema mandhari ya washikadau katika jamii ni lengo muhimu katika kufanya mazungumzo yasiyo rasmi na uchunguzi wa washiriki. Wadau huathiri au wanaweza kuathiriwa na vitendo vya shirika. Msaada wao ni muhimu kwa mafanikio ya shirika katika kutekeleza mipango ya usimamizi wa uvuvi. Kwa kuwaelewa vyema wadau, utawatambua vyema wadau wanaohusika katika ufuatiliaji wa uvuvi siku zijazo kwa ajili ya usimamizi wa uvuvi katika maeneo yao."
examples,Mifano ya aina ya wadau wa kujumuishwa:
example1,Wavuvi
example2,Mkuu wa kijiji
example3,viongozi wa dini
example4,Mkuu wa wilaya
example5,Mfanyakazi wa afya kwenye jamii/mtaalamu wa afya
example6,Mnunuzi/Msambazaji kwa Kijiji
example7,Kiwanda cha uchakataji
example8,Wanawake katika kijiji / wake wa wavuvi
p62,Taarifa kuhusu wadau zikusanywe:
point47,"Taarifa kuhusu wadau muhimu na nafasi zao kuhusiana na malengo ya taasisi (kiwango cha msaada, mamlaka, n.k.). Taarifa hii inaweza kutumika kubaini ni wadau gani wa kujumuishwa katika kundi la majadiliano/mahojiano ya kuprofaili jamii"
p63,"Baada ya kufanya mazungumzo yasiyo rasmi, hatua inayofuata unayoweza kufanya ni uchunguzi wa washiriki. Uchunguzi ni mbinu inayokuruhusu kutumia matukio yanayokuzunguka kukusanya dalili na kutoa hitimisho kuhusu maeneo maalum au uzoefu kwa kuchunguza siku moja katika kijiji cha uvuvi. Mbinu hii ni muhimu kukusanya ushahidi kutoka kwa taarifa zilizotolewa katika mazungumzo yasiyo rasmi. Mbinu hii inakuruhusu kuelewa shughuli za maisha ya kila siku katika kijiji cha uvuvi"
p64,Taratibu Za Kikundi Cha majadiliano/mahojiano
2a,Kuandaa kikundi cha majadiliano/mahojiano
2a.1,"Ni muhimu kudumisha mahusiano mazuri na jamii lengwa. Kwa hiyo, popote inapowezekana vijiji vinapaswa kuarifiwa kuhusu mpango wa mkutano wa kundi la majadiliano wiki mbili kabla."
2a.2,"Ikiwa kijiji kina mpokeaji wa simu ya mkononi, piga simu kwa kiongozi wa kijiji au mtu mwingine tofauti wa mawasiliano."
2a.3,"Ikiwa kijiji hakina mpokezi wa simu ya mkononi, fanya ziara katika kijiji ili kukutana na kiongozi wa kijiji au mtu mwengine wa kuwasiliana naye"
2a.4,"Wakati wa simu hii au kutembelea kiongozi wa kijiji au mtu mwengine wa mawasiliano, eleza yafuatayo:"
2a.4.1,Lengo la mkutano
2a.4.2,Mahali pa mkutano
2a.4.3,Tarehe na wakati wa mkutano
2a.4.4,Njia ya kuwajulisha washiriki wa mkutano
2a.4.5,Idadi ya washiriki
2a.4.5.1,Wanakijiji wote au watu maalum kulingana na wavuvi bora (2)
2a.4.5.2,Wavuvi wa mara kwa mara (2)
2a.4.5.3,Wavuvi wanaotembelea maeneo mbalimbali ya kuvua (2)
2a.4.5.4,Wavuvi wanaoheshimiwa vyema ikiwezekana na wenye uzoefu katika ramani (2)
2a.5,"Wanawake - wasiliana na kiongozi wa kijiji mapema ili kuhakikisha kama kundi la majadiliano linaweza kufanyika kama jinsia zote mbili ziko pamoja, kwani katika baadhi ya maeneo, hili haliwezekani kila wakati"
2a.6,"Jaribu kuepuka kufanya mkutano/mikutano wakati wa mawimbi makubwa/msimu wa juu wa uvuvi, kwani wavuvi wengi wanaohitajika watakuwa na shughuli nyingi za uvuvi."
2a.7,Hakikisha kuangalia ratiba za miradi mingine ambayo inaweza kuwa inafanya kazi katika eneo moja kwa wakati huo ili kuepuka migongano.
2b,Timu ya kikundi cha majadiliano/mahojiano
p65,"Yafuatayo ni majukumu yanayopendekezwa kwa kiongozi anayeongoza kikundi cha majadiliano. Kwa kiwango cha chini, kundi la majadiliano linapaswa kuwa na anayeongoza majadiliano na mwandishi wa kumbukumbu"
p66,Mwendeshaji mkuu wa majadiliano: Anaongoza na kudhibiti mkutano
2b.1,Huanzisha mkutano
2b.2,Anaendesha mkutano
2b.3,Anadhibiti mchakato wa mazungumzo
2b.4,Anakuwa kama kichocheo kati ya watu wa kundi
2b.5,Hupata njia za kuunganisha watu wenye usemi mkubwa na wale walio kimya na kuhakikisha kuwa wanachama wote wa kundi wanaweza kutoa maoni yao
2b.6,Hakikisha kuwa kundi linabaki kwenye mada lakini pia ni mwenye ni rahisi kubadilika ili kushughulikia taarifa muhimu zaidi
2b.7,Anarudia kwa maneno yake mwenyewe kile watu wanachosema ili kuhakikisha kuna uelewa mzuri wa mjadala
2b.8,Anahakikisha usimamizi mzuri wa saa/muda
p67,"Msaidizi wa mwendeshaji wa majadiliano: Husaidia mwendeshaji mkuu, hasa katika kuonyesha vifaa vya kuona."
2b.9,Anasaidia anayechukuwa kumbukumbu katika kukusanya taarifa zote muhimu
2b.10,"Anasaidia kuonyesha vifaa vya kuona na husaidia na vipengele vingine shirikishi vya mkutano kama vile kuhesabu kura, kuchukua kumbukumbu ambazo zinaonyeshwa, kugawa vifaa, n.k."
2b.11,Aleta vifaa vinavyohitajika
2b.12,"Huwasaidia anayeongoza majadiliano kwa njia isiyo ya moja kwa moja kwa kutoa ishara (kwa mfano, kuonyesha wale wanaotaka kuzungumza)"
2b.13,"Anasaidia anayeongoza majadiliano moja kwa moja kwa kuuliza maswali, ikiwa hali inahitaji."
p68,Mchukuaji wa Kumbukumbu: Ananukuu mkutano
2b.14,Analifuatilia tukio kimya kimya
2b.15,Ananakili majibu yote. Ni muhimu kuwa na orodha ya maswali iliyochapishwa ili iweze kuambatanishwa na maelezo wakati wa mkutano.
2b.16,Ananakili habari zote muhimu
2b.17,"Anaandika ni nani anazungumza. Je, kuna ushiriki sawa wa watu wote au baadhi wanadhibiti mchakato? Je, wanawake wanazungumza?"
2c,Washiriki wa kikundi cha majadiliano/mahojiano
p69,"Fanya upangaji wa makini kuhusu nani wa kualika kwenye mkutano wa kikundi cha mwelekeo. Kutambua watu 10-12 kunapendekezwa ili kuhakikisha kuwa ukubwa unaweza kudhibitiwa, kuruhusu uwakilishi wa kutosha wa mitazamo tofauti. Iwezekanavyo, jumuishe wawakilishi kutoka kwa vikundi mbalimbali vya wadau na sekta za jamii (tazama mifano ya aina za wadau katika sehemu iliyo hapo juu). Wakati wa kuchagua washiriki, zingatia ujuzi wao na majukumu katika jamii. Kuwakaribisha watu wenye ujuzi zaidi kuhusu uvuvi na jamii, kama vile mvuvi wa muda wote badala ya mvuvi wa burudani wa mara kwa mara, itatoa maelezo thabiti na sahihi zaidi. Kutambua na kualika watu ambao wanaheshimiwa sana katika jamii kunasaidia kujenga uaminifu."
2d,Majadiliano vifaa na mbinu
p70,"Takwimu inaweza kukusanywa katika fomu ya “Uchunguzi kuprofaili jamii” kwa fomu ya kobo. Hata hivyo, inaweza kuwa rahisi zaidi kwa mchukuaji wa kumbukumbu kuhifadhi takwimu kupitia maelezo yaliyoandikwa ili kunasa kwa urahisi zaidi vivumbe na taarifa zinazotokana na majadiliano ya kikundi, kama vile majibu tofauti kwa kila mhojiwa"
p71,"Ikiwa habari inakusanywa kwa kuchukua maelezo. Baada ya mkutano wa kikundi kukamilika, majibu yanapaswa kuingizwa katika fomu Ya Kobo Ya ""Utafiti wa Profaili ya Jamii""."
p72,Wahimize washiriki wote wa kikundi kuzungumza kwani wanawakilisha mchanganyiko wa umri na msimamo wa kijamii ambao unaweza kuwa na uzoefu tofauti wa uvuvi.
p73,"Kuuliza maswali moja kwa moja kwa kikundi na kusubiri wanaojitolea kujibu ni njia moja ya kuongoza mjadala. Hata hivyo, kubadilisha jinsi kiongozi anavyotaka majibu kunaweza kusaidia kuweka mjadala kuwa wa kuvutia na pia kuhakikisha kuwa sauti zote zinasikilizwa na washiriki wasiozungumza sana wanaweza kushiriki. Kabla ya kuanza kikundi cha mwelekeo, fikiria jinsi ungependa kuchochea majibu kwa kila swali lililopangwa"
2d.1,Fungua jukwaa-Mtu yeyote anaweza kujibu swali na kuzungumza.
2d.2,"Waite washiriki mahususi - Hii inaweza kusaidia kuhakikisha kuwa washiriki wasiozungumza sana wanapata nafasi ya kuzungumza. Hii inaweza kutumika baadaye katika mjadala mara baada ya kiongozi wa majadiliano kutambua ni washiriki gani wanaoweza kufaidika na kuitwa kuzungumza. Vinginevyo, kiongozi wa mazungumzo anaweza kutumia mbinu hii wakati anapojua kuwa mshiriki fulani ana ujuzi muhimu au habari zinazohusiana na swali."
2d.3,"Majibu ya haraka - Enda katika mduara na kila mtu kwa kifupi anachangia maoni/yake kuhusu swali. Hii inaweza kuwa na ufanisi katika kuhakikisha inahusisha kila mtu. Hata hivyo, hakikisha kuwasilisha wazi na kutekeleza vizuri mipaka ya wakati, vinginevyo mbinu hii inaweza kutumia muda mwingi sana wa majadiliano"
2d.4,Piga kura - Uliza swali kwa hadhira na watu wainue mikono yao kulingana na chaguzi tofauti wa majibu. Hii inaweza kufanyika kwa uwazi au kwa siri na macho yakiwa yamefungwa au watu wakiandika majibu yao kwenye karatasi zilizokunjwa ambazo baadaye zinakusanywa.
2d.5,"Vikundi - Gawa kundi katika vikundi vidogo ambavyo vinajadili na kutoa ripoti kwa kundi kuu. Mbinu hii husaidia sana na vikundi vikubwa ambapo hakuna muda wa kutosha kwa wanachama wote wa kundi kushiriki katika jukwaa la kundi zima. Katika hali hii, hakikisha kila kundi lina wadau wanaowakilisha maoni na mitazamo tofauti."
p74,Maswali ya mjadala wa kikundi
p75,"Anza kundi la majadiliano kwa kujitambulisha, kueleza mradi, na lengo la mkutano. Kisha, wawezeshe kila mtu katika chumba kujitambulisha. Panga njia bora za kila swali la kuchochea na kukusanya majibu mapema (angalia sehemu hapo juu kwa mawazo). Tafadhali angalia nakala ya Utafiti wa Profaili ya Jamii kwa orodha kamili ya maswali ya kundi la majadiliano kufuatilia"
p76,Vifaa vya Kuongoza majadiliano (vinapatikana kwa Kiingereza))
