key,mg
t1.163,"Vondrona Trophic avy amin'ny trondro MERMAID sy ny fanondroana ny toetra benthic. Anisan'ny safidy ny: 'omnivore, planktivore, herbivore-detritivore, herbivore-macroalgae, piscivore, invertivore-mobile, invertivore-sessile'."
t1.164,"Vondrona miasa avy amin'ny trondro MERMAID sy ny fanondroana ny toetra benthic. Anisan'ny safidy ny: ""cropper/grazer, planktivore, detritivore, browser, piscivore, pisci-invertivore, micro-invertivore, macro-invertivore, corallivore, cleaner, spongivore, excavator, scraper""."
t1.165,"Ny haben'ny vondrona dia avy amin'ny trondro MERMAID sy ny fanondroana ny toetra benthic. Anisan'ny safidy: ""vondrona lehibe, vondrona antonony, vondrona kely, mpivady, irery""."
t1.166,AMIN'IZAO FOTOANA IZAO DIA HAVAOZINA
t1.167,"Ny halavany rehefa matotra ny karazany (cm), avy amin'ny rfishbase 'matotra' tbl."
t1.168,"Karazana halavan'ny fandrefesana ho an'ny sanda 'lmat'. Anisan'ny safidy: 'tl = halavany manontolo, sl = halavany mahazatra, wd = sakany, CL = halavan'ny carapace, CW = sakany carapace, ml = halavan'ny lamba firakotra, ShL = halavan'ny akorandriaka'."
t1.169,"Fanondroana ny sandan'ny 'lmat'. Anisan'ny safidy: ""Fishbase, SeaLifebase, Journal article""."
t1.170,"Karazana halavan'ny fandrefesana ho an'ny sanda' final_lmax'. Anisan'ny safidy: 'tl = halavany manontolo, sl = halavany mahazatra, wd = sakany, CL = halavan'ny carapace, CW = sakany carapace, ml = halavan'ny lamba firakotra, ShL = halavan'ny akorandriaka'."
t1.171,"Ny halavany farany ambony indrindra (cm) isaky ny karazany ampiasaina amin'ny kajy, na avy amin'ny tsanganana 'lmax' na ny tsanganana 'lmax_tl' mifototra amin'ny karazana halavany tadiavina."
t1.172,"Ny sanda 'loo' voaisa amin'ny fampiasana ny sanda 'final_lmax' ao amin'ny raikipohy "" = ( 10^(0.044 + 0.9841 *LOG10 (final_lmax))"""
t1.173,"Ny halavan'ny fahamatorana dia tombanana amin'ny fampiasana ny sanda voaisa avy amin'ny tsanganana 'calc_loo', amin'ny fampiasana ny raikipohy "" =(10^(0.8979 *LOG10 (calc_loo) - 0.0782))"""
t1.174,Ny halavan'ny farany amin'ny fahamatorana (cm) mifototra amin'ny kajy ao amin'ny tsanganana 'calc_lmat' boribory hatramin'ny fahafolo akaiky indrindra.
t1.175,"Kajy hamaritana ny fetra farany ambany indrindra, kajy mandeha ho azy amin'ny Smartsheet amin'ny fampiasana ny formula ""=[final_lmat]@row * 0.5"""
t1.176,"Fetra farany ambony indrindra (cm) ampiasaina amin'ny fampitandremana sanda mifototra amin'ny sanda 'final_lmax', kajy mandeha ho azy amin'ny Smartsheet amin'ny fampiasana ny formula ""=[final_lmax]@row"""
t1.177,"Fetra farany ambany indrindra (cm) ampiasaina amin'ny fampitandremana sanda mifototra amin'ny sanda 'calc_limit_min', kajy mandeha ho Azy amin'ny Smartsheet amin'ny fampiasana ny formula""=[calc_limit_min]@row"""
t1.178,"Ny fetra farany ambony indrindra (kg) ampiasaina amin'ny fampitandremana ny sanda mifototra amin'ny sanda 'length_limit_max', 'a', ary 'b', kajy mandeha ho azy ao Amin'ny Smartsheet amin'ny fampiasana ny raikipohy ""=(([length_limit_max]@row ^ b@row) * a@row) / 1000"""
t1.179,"Ny fetra farany ambany indrindra (kg) ampiasaina amin'ny fampitandremana ny sanda mifototra amin'ny sanda' length_limit_min',' a', ary' b', kajy mandeha ho azy ao Amin'ny Smartsheet amin'ny fampiasana ny raikipohy ""=(([length_limit_min]@row ^ b@row) * a@row) / 1000"""
t1.180,"Lanja antonony (kg), kajy mandeha ho azy amin'ny Smartsheet amin'ny fampiasana ny formula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"""
t1.181,Referansa na raikipohy ho an'ny sanda 'avg_weight'
t1.182,"TRUE/PRESENT (1) na FALSE/ABSENT (0), avy amin'ny tsanganana 'Oceanic' ao amin'ny fishbase 'ecology' tbl."
t1.183,"MARINA/MISY (1) NA DISO/TSY misy (0), avy amin'ny tsanganana 'CoralReefs' ao amin'ny tbl 'ecology' fishbase."
t1.184,"MARINA/MISY (1) NA DISO/TSY misy (0), avy amin'ny tsanganana 'Mangroves' ao amin'ny tbl 'ecology' fishbase."
t1.185,"MARINA/MISY (1) na DISO/TSY misy (0), avy amin'ny tsanganana 'SeaGrassBeds' ao amin'ny fishbase 'ecology' tbl."
t1.186,"TRUE/PRESENT (1) na FALSE/ABSENT (0), avy amin'ny tsanganana 'Mud' ao amin'ny tbl 'ecology' fishbase."
t1.187,"TRUE/PRESENT (1) na FALSE/ABSENT (0), avy amin'ny tsanganana 'Sand' ao amin'ny tbl 'ecology' fishbase."
t1.188,"MARINA/MISY (1) na DISO/TSY misy (0), avy amin'ny tsanganana 'Estuaries' ao amin'ny tbl 'ecology' fishbase."
faq,Fanontaniana Apetraka Matetika:
q1,"Raha vao manampy admin vaovao aho, hafiriana vao miseho ao amin'ny dropdown ho an'ny admin2?"
a1,"Haharitra 15 minitra eo ho eo vao misy fidirana vaovao ao amin'ny dynamic dropdowns. Izany dia mihatra amin'ny ""dropdown"" admin2 ao amin'ny admin3_ref, ny ""dropdown"" vondrona karazana ao amin'ny gear_ref, ny ""dropdown"" admin3 ao amin'ny buyer_ref, fisher_ref, data_collector, sns. Jereo ny Sary 5 ho an'ny lisitra feno ny f""dropdown dynamic"" sy ny fizotran'ny asany amin'ny alàlan'ny rakitra referansa."
q2,"Raha vao manampy na manavao rakitra referansa aho, hafiriana vao miseho ny fanavaozana ao Amin'ny fanadihadiana Kobo?"
a2,Tokony hahita endrika kobo nohavaozina ianao ao anatin'ny 12-24 ora eo ho eo.
q3,"Ahoana no tokony hanoratana ny anaran'ny mpividy, mpanjono ary mpanangona angona?"
a3,"Raha ny tokony ho izy, ny anarana dia tokony ho tokana araka izay azo atao ho an'ny tsirairay ary ahitana ny anarany voalohany, ny anarany farany ary ny anaram-bosotra. Raha tsy te hizara ny anarany feno ny olona iray dia azonao atao koa ny mampiasa ny litera voalohany na voalohany amin'ny anarany farany."
fig5,Fifandraisana dynamic dropdown eo amin'ny rakitra referansa.
