key,ceb
t1.173,"Ang gitas-on sa pagkahamtong gibanabana sa paggamit sa kalkulado bili gikan sa' calc_looo 'kolum, sa paggamit sa pormula""=(10^(0.8979 * LOG10(calc_looo) - 0.0782))"""
t1.174,Katapusan nga gitas-on sa pagkahamtong (cm) bili base sa kalkulasyon sa 'calc_lmat' kolum rounded ngadto sa labing duol nga ikapulo.
t1.175,"Kalkulasyon alang sa pagtino sa minimum nga gitas-on utlanan, auto-kalkulado Sa Smartsheet sa paggamit sa pormula ""=[final_lmat]@row * 0.5"""
t1.176,"Maximum nga limitasyon sa gitas-on (cm) gigamit alang sa mga pasidaan sa kantidad base sa' final_lmax ' nga kantidad, auto-kalkulado sa Smartsheet gamit ang pormula nga ""=[final_lmax]@row"""
t1.177,"Minimum nga limitasyon sa gitas-on (cm) gigamit alang sa mga pasidaan sa kantidad base sa' calc_limit_min 'nga kantidad, auto-kalkulado sa Smartsheet gamit ang pormula nga""=[calc_limit_min]@row"""
t1.178,"Maximum nga limitasyon sa timbang (kg) gigamit alang sa mga pasidaan sa kantidad base sa 'length_limit_max', 'a', ug 'b' nga mga kantidad, awtomatiko nga gikalkulo sa Smartsheet gamit ang pormula ""=([[length_limit_max]@row b@row) / 1000"""
t1.179,"Minimum nga limitasyon sa timbang (kg) gigamit alang sa mga pasidaan sa kantidad base sa 'length_limit_min', 'a', ug 'b' nga mga kantidad, awtomatikong gikalkulo sa Smartsheet gamit ang pormula ""=([[length_limit_min]@row@row) / 1000"""
t1.180,"Average nga gibug-aton (kg), auto-kalkulado Sa Smartsheet sa paggamit Sa pormula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"""
t1.181,Pakisayran o pormula alang sa' avg_weight ' bili
t1.182,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum nga 'Oceanic' sa ekolohiya sa fishbase 'tbl."
t1.183,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum nga 'CoralReefs' sa ekolohiya sa fishbase 'tbl."
t1.184,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum sa 'Mangroves' sa ekolohiya sa fishbase 'tbl."
t1.185,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum nga 'SeaGrassBeds' sa ekolohiya sa fishbase 'tbl."
t1.186,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum nga 'Lapok' sa ekolohiya sa fishbase 'tbl."
t1.187,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum nga 'Balas' sa ekolohiya sa fishbase 'tbl."
t1.188,"TINUOD/KARON (1) o BAKAK/WALA (0), gikuha gikan sa kolum nga 'Estuaries' sa ekolohiya sa fishbase 'tbl."
faq,Kanunay Nga Gipangutana Nga Mga Pangutana:
q1,"Unsa ka dugay ang pag-download sa usa ka bag-ong admin 1, unsa ka dugay kini moabut sa wala pa kini makita sa dropdown alang sa admin 2?"
a1,"Gikinahanglan ang 15 minuto sa wala pa magamit ang mga bag-ong entry sa mga dinamikong dropdown. Nalakip kini sa administr2 dropdown sa admin3_ref, ang species_group dropdown sa gear_ref, ang administr3 dropdown sa buyer_ref, fisher_ref, data_collector, ug uban pa. Tan-awa Ang Figure 5 alang sa bug-os nga lista sa mga dinamikong dropdown ug ang ilang agianan sa trabaho pinaagi sa mga file sa pakisayran."
q2,"Sa higayon nga ako makadugang o update sa usa ka pakisayran file, unsa ka dugay kini kuhaon sa atubangan sa mga updates makita diha sa Kobo survey?"
a2,Kinahanglan nimo nga makita ang usa ka gi-update nga kobo form sa gibana-bana nga 12-24 ka oras.
q3,"Giunsa ang pagrekord sa mga ngalan sa mga pumapalit, mangingisda ug mga tigkolekta sa datos?"
a3,"Sa minithi, mga ngalan kinahanglan nga ingon sa talagsaon nga kutob sa mahimo ngadto sa mga indibidwal ug naglakip sa ilang unang ngalan, katapusan nga ngalan ug angga. Kung ang usa ka tawo dili gusto nga ipaambit ang ilang tibuuk nga ngalan mahimo usab nimo gamiton ang una o una nga letra sa ilang katapusan nga ngalan."
fig5,Dinamikong dropdown nga koneksyon tali sa mga file sa pakisayran.
